epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.134,0.1747,3.29925,0.48107,0.98008,0.95809,0.98431,0.71062,0.1565,2.56107,0.45599,0.000196552,0.000196552,0.0805414
2,44.8659,0.17412,3.28513,0.47698,0.96478,0.98189,0.98825,0.70418,0.15716,2.55985,0.45668,0.000396509,0.000396509,0.0607413
3,67.1854,0.17775,3.32866,0.48109,0.94287,0.97717,0.99045,0.71336,0.15474,2.57707,0.45158,0.000596293,0.000596293,0.0409411
4,90.6032,0.17834,3.31847,0.48591,0.92368,0.97608,0.98071,0.69396,0.15826,2.64307,0.46045,0.000795774,0.000795774,0.0211406
5,114.746,0.17663,3.22194,0.47835,0.97325,0.97328,0.98783,0.66447,0.16132,2.81776,0.46186,0.000994822,0.000994822,0.00133965
6,139.339,0.17794,3.29093,0.47935,0.97794,0.97466,0.9899,0.70436,0.15725,2.58388,0.46387,0.000997288,0.000997288,0.000997288
7,164.417,0.1732,3.2167,0.47499,0.96587,0.97999,0.99043,0.71644,0.15552,2.51913,0.45419,0.000996097,0.000996097,0.000996097
8,189.724,0.17449,3.20107,0.467,0.96931,0.97052,0.98857,0.70271,0.16072,2.62233,0.46347,0.00099469,0.00099469,0.00099469
9,215.303,0.17378,3.07217,0.4704,0.9681,0.97663,0.98622,0.68463,0.16632,2.74589,0.47202,0.000993068,0.000993068,0.000993068
10,241.099,0.17605,3.07343,0.47484,0.95791,0.98313,0.99048,0.71687,0.15352,2.46926,0.44822,0.000991232,0.000991232,0.000991232
11,267.228,0.17,3.03888,0.46512,0.95384,0.98041,0.99043,0.7311,0.15564,2.504,0.45247,0.000989183,0.000989183,0.000989183
12,294.333,0.17056,3.01072,0.46776,0.98151,0.98782,0.99186,0.71529,0.15341,2.31038,0.44857,0.000986922,0.000986922,0.000986922
13,322.153,0.17174,2.9542,0.46444,0.97504,0.97327,0.98966,0.70907,0.16099,2.73752,0.46193,0.000984449,0.000984449,0.000984449
14,348.888,0.17084,3.03308,0.47121,0.97043,0.98913,0.98905,0.70341,0.16116,2.58609,0.46159,0.000981765,0.000981765,0.000981765
15,375.308,0.16941,2.91021,0.46334,0.97047,0.98753,0.99009,0.70636,0.16222,2.50047,0.4619,0.000978873,0.000978873,0.000978873
16,401.968,0.17271,2.95002,0.4667,0.97585,0.98369,0.98984,0.70262,0.16011,2.56839,0.45745,0.000975773,0.000975773,0.000975773
17,429.034,0.16804,2.95332,0.46402,0.97102,0.98318,0.99094,0.70025,0.15816,2.45934,0.45701,0.000972466,0.000972466,0.000972466
18,456.462,0.17241,3.02076,0.47025,0.96759,0.98096,0.99069,0.71149,0.15563,2.37996,0.45267,0.000968955,0.000968955,0.000968955
19,484.801,0.16985,2.92401,0.47356,0.95415,0.95723,0.97949,0.71112,0.15581,2.56131,0.45584,0.000965239,0.000965239,0.000965239
20,513.103,0.16745,2.8007,0.45714,0.97576,0.97335,0.98718,0.71934,0.1521,2.30799,0.44723,0.000961322,0.000961322,0.000961322
21,541.13,0.16658,2.79649,0.45982,0.98042,0.99197,0.99131,0.72138,0.1518,2.29032,0.44418,0.000957205,0.000957205,0.000957205
22,569.064,0.16821,2.89962,0.46207,0.96333,0.98075,0.9914,0.72651,0.15369,2.36058,0.44637,0.000952889,0.000952889,0.000952889
23,596.682,0.16913,2.88716,0.46057,0.98166,0.97918,0.99101,0.72154,0.16041,2.43228,0.45873,0.000948377,0.000948377,0.000948377
24,624.001,0.16643,2.88653,0.45459,0.9749,0.98674,0.99074,0.69913,0.15622,2.39627,0.44969,0.000943671,0.000943671,0.000943671
25,651.927,0.16567,2.88496,0.45371,0.98219,0.98335,0.99187,0.72031,0.15052,2.21963,0.4424,0.000938772,0.000938772,0.000938772
26,679.51,0.16771,2.79439,0.45596,0.96527,0.98724,0.99115,0.71699,0.15301,2.3259,0.44433,0.000933683,0.000933683,0.000933683
27,706.721,0.16795,2.85366,0.46149,0.97297,0.98115,0.99014,0.70003,0.16009,2.29964,0.45826,0.000928405,0.000928405,0.000928405
28,734.22,0.16857,2.90621,0.45971,0.97896,0.98494,0.98832,0.70228,0.15844,2.31525,0.4546,0.000922942,0.000922942,0.000922942
29,761.446,0.16762,2.84452,0.46257,0.98113,0.98136,0.98806,0.69431,0.16095,2.30061,0.46107,0.000917296,0.000917296,0.000917296
30,788.704,0.16902,2.86112,0.46043,0.9794,0.98638,0.98819,0.72162,0.15164,2.17817,0.44181,0.000911469,0.000911469,0.000911469
31,815.88,0.16576,2.68885,0.4584,0.97965,0.98496,0.98823,0.73839,0.15079,2.12893,0.44108,0.000905463,0.000905463,0.000905463
